accuracy,balanced_accuracy,macro_f1,glass_precision,glass_recall,plastic_recall,mcc,n,tn_plastic_ok,plastic_as_glass,glass_as_plastic,tp_glass_ok,glass_to_plastic_rate,plastic_to_glass_rate,roc_auc,model,split,family,n_features,feature_blocks,fit_seconds,model_size_kb,clf_ms_per_image,ba_ci_lo,ba_ci_hi
0.8782051282051282,0.8795319709953856,0.8781600690590702,0.9090909090909091,0.8536585365853658,0.9054054054054054,0.7581274807936684,156,67,7,12,70,0.14634146341463414,0.0945945945945946,0.9538562953197098,hist_gbdt,test,classical (hand-crafted features),142,color+specular+texture+edge+transparency,1.51,1089.4,0.029,0.8204968536138821,0.923022792022792
0.8653846153846154,0.8660184574818721,0.8652461848545925,0.8860759493670886,0.8536585365853658,0.8783783783783784,0.7311337971527301,156,65,9,12,70,0.14634146341463414,0.12162162162162163,0.9377059986816084,extra_trees,test,classical (hand-crafted features),142,color+specular+texture+edge+transparency,0.73,16345.8,0.5713,0.8120359848484849,0.9168722948416815
0.8589743589743589,0.8599208965062624,0.8588815789473685,0.8846153846153846,0.8414634146341463,0.8783783783783784,0.7188946323483355,156,65,9,13,69,0.15853658536585366,0.12162162162162163,0.9457811470006592,svm_rbf,test,classical (hand-crafted features),142,color+specular+texture+edge+transparency,0.03,482.4,0.0576,0.8018409410561309,0.9105493337007694
0.8461538461538461,0.8490441661173369,0.8461285549893145,0.9027777777777778,0.7926829268292683,0.9054054054054054,0.6992416261520261,156,67,7,17,65,0.2073170731707317,0.0945945945945946,0.9199901120632827,knn_5,test,classical (hand-crafted features),142,color+specular+texture+edge+transparency,0.0,787.5,0.0106,0.7861417416240303,0.9067225189675264
0.8205128205128205,0.8200395517468688,0.8200395517468688,0.8292682926829268,0.8292682926829268,0.8108108108108109,0.6400791034937376,156,60,14,14,68,0.17073170731707318,0.1891891891891892,0.9261700725115359,random_forest,test,classical (hand-crafted features),142,color+specular+texture+edge+transparency,1.06,3676.2,0.3537,0.7591899340587484,0.8785393518518518
0.8141025641025641,0.812623599208965,0.8131736526946107,0.8117647058823529,0.8414634146341463,0.7837837837837838,0.6269543258699394,156,58,16,13,69,0.15853658536585366,0.21621621621621623,0.8881015161502965,mlp_64_32,test,classical (hand-crafted features),142,color+specular+texture+edge+transparency,0.09,275.9,0.0027,0.7548248126174955,0.8656933165046422
0.7948717948717948,0.7943309162821358,0.7943309162821358,0.8048780487804879,0.8048780487804879,0.7837837837837838,0.5886618325642716,156,58,16,16,66,0.1951219512195122,0.21621621621621623,0.8658536585365854,logreg_l2,test,classical (hand-crafted features),142,color+specular+texture+edge+transparency,0.01,5.5,0.002,0.7240331135109616,0.8529590662502055
0.7948717948717948,0.7943309162821358,0.7943309162821358,0.8048780487804879,0.8048780487804879,0.7837837837837838,0.5886618325642716,156,58,16,16,66,0.1951219512195122,0.21621621621621623,0.8582729070533949,lda_shrinkage,test,classical (hand-crafted features),142,color+specular+texture+edge+transparency,0.01,165.3,0.0025,0.7301860233346452,0.8551922573564441
0.7884615384615384,0.7875741595253791,0.7877551020408163,0.7951807228915663,0.8048780487804879,0.7702702702702703,0.5755753213674812,156,57,17,16,66,0.1951219512195122,0.22972972972972974,0.8764007910349373,svm_linear,test,classical (hand-crafted features),142,color+specular+texture+edge+transparency,0.02,5.4,0.0022,0.7272966279290776,0.8503377675147205
0.7628205128205128,0.7631839156229401,0.7625766114104726,0.7848101265822784,0.7560975609756098,0.7702702702702703,0.5257184484704682,156,57,17,20,62,0.24390243902439024,0.22972972972972974,0.8124588002636782,gaussian_nb,test,classical (hand-crafted features),142,color+specular+texture+edge+transparency,0.0,8.7,0.0029,0.7015942929529436,0.8271239045764361
0.8888888888888888,0.8877679697351828,0.8884391601315457,0.8695652173913043,0.9230769230769231,0.8524590163934426,0.7786845378108675,126,52,9,5,60,0.07692307692307693,0.14754098360655737,0.9530895334174023,hist_gbdt,val,classical (hand-crafted features),142,color+specular+texture+edge+transparency,1.51,1089.4,0.0306,0.8352481014147625,0.9439760818120351
0.8650793650793651,0.8636822194199243,0.8643874643874644,0.8428571428571429,0.9076923076923077,0.819672131147541,0.731527448955288,126,50,11,6,59,0.09230769230769231,0.18032786885245902,0.909205548549811,mlp_64_32,val,classical (hand-crafted features),142,color+specular+texture+edge+transparency,0.09,275.9,0.0032,0.8099798387096775,0.9215287565401403
0.8571428571428571,0.8564943253467844,0.8568181818181818,0.8507462686567164,0.8769230769230769,0.8360655737704918,0.7140700294505107,126,51,10,8,57,0.12307692307692308,0.16393442622950818,0.9104665825977302,svm_linear,val,classical (hand-crafted features),142,color+specular+texture+edge+transparency,0.02,5.4,0.0022,0.7915378254374733,0.9119558193651858
0.8571428571428571,0.855485498108449,0.856237322515213,0.8309859154929577,0.9076923076923077,0.8032786885245902,0.716412180148878,126,49,12,6,59,0.09230769230769231,0.19672131147540983,0.9186633039092055,extra_trees,val,classical (hand-crafted features),142,color+specular+texture+edge+transparency,0.73,16345.8,0.8708,0.7887862092340137,0.9147267006448928
0.8492063492063492,0.8467843631778058,0.8475838797988158,0.8108108108108109,0.9230769230769231,0.7704918032786885,0.7040338917682147,126,47,14,5,60,0.07692307692307693,0.22950819672131148,0.9245901639344263,svm_rbf,val,classical (hand-crafted features),142,color+specular+texture+edge+transparency,0.03,482.4,0.0582,0.7787088373655914,0.896589534457478
0.8412698412698413,0.8390920554854981,0.839816933638444,0.8082191780821918,0.9076923076923077,0.7704918032786885,0.6865463167367624,126,47,14,6,59,0.09230769230769231,0.22950819672131148,0.9283732660781842,random_forest,val,classical (hand-crafted features),142,color+specular+texture+edge+transparency,1.06,3676.2,0.5302,0.771006197824437,0.893464605841655
0.8095238095238095,0.8083228247162673,0.8087528459397926,0.7971014492753623,0.8461538461538461,0.7704918032786885,0.619149169088641,126,47,14,10,55,0.15384615384615385,0.22950819672131148,0.8925598991172762,logreg_l2,val,classical (hand-crafted features),142,color+specular+texture+edge+transparency,0.01,5.5,0.0024,0.7322463768115942,0.8711956521739129
