accuracy,balanced_accuracy,macro_f1,glass_precision,glass_recall,plastic_recall,mcc,n,tn_plastic_ok,plastic_as_glass,glass_as_plastic,tp_glass_ok,glass_to_plastic_rate,plastic_to_glass_rate,roc_auc,model,split,shift,drop_vs_clean
0.9333333333333333,0.9333333333333333,0.933300395256917,0.9534883720930233,0.9111111111111111,0.9555555555555556,0.8675239039352517,90,43,2,4,41,0.08888888888888889,0.044444444444444446,0.9846913580246913,svm_rbf,test,test,0.0
0.8833333333333333,0.8833333333333333,0.8821548821548821,0.8194444444444444,0.9833333333333333,0.7833333333333333,0.7824758900557375,120,47,13,1,59,0.016666666666666666,0.21666666666666667,0.9697222222222222,svm_rbf,shift_blur,blur,-0.050000000000000044
0.7416666666666667,0.7416666666666667,0.7385988335324292,0.8085106382978723,0.6333333333333333,0.85,0.4950939722793549,120,51,9,22,38,0.36666666666666664,0.15,0.7825,svm_rbf,shift_dark,dark,-0.19166666666666665
0.5,0.5,0.3333333333333333,0.0,0.0,1.0,0.0,120,60,0,60,0,1.0,0.0,0.5141666666666667,svm_rbf,shift_noise,noise,-0.43333333333333335
0.5416666666666666,0.5416666666666666,0.4305927012337158,0.8571428571428571,0.1,0.9833333333333333,0.17777953363369448,120,59,1,54,6,0.9,0.016666666666666666,0.8258333333333334,svm_rbf,shift_jpeg,jpeg,-0.3916666666666667
0.8166666666666667,0.8166666666666667,0.8114285714285714,0.7375,0.9833333333333333,0.65,0.6717514421272202,120,39,21,1,59,0.016666666666666666,0.35,0.9283333333333335,svm_rbf,shift_lowcontrast,lowcontrast,-0.1166666666666667
0.5083333333333333,0.5083333333333333,0.3515889733492078,1.0,0.016666666666666666,1.0,0.09166984970282113,120,60,0,59,1,0.9833333333333333,0.0,0.696388888888889,svm_rbf,shift_clutter,clutter,-0.42500000000000004
0.9,0.9,0.9,0.9,0.9,0.9,0.8,120,54,6,6,54,0.1,0.1,0.9633333333333334,svm_rbf,shift_whitebg,whitebg,-0.033333333333333326
0.9333333333333333,0.9333333333333333,0.933300395256917,0.9534883720930233,0.9111111111111111,0.9555555555555556,0.8675239039352517,90,43,2,4,41,0.08888888888888889,0.044444444444444446,0.9861728395061728,extra_trees,test,test,0.0
0.8833333333333333,0.8833333333333333,0.8830409356725146,0.8484848484848485,0.9333333333333333,0.8333333333333334,0.7705289916987292,120,50,10,4,56,0.06666666666666667,0.16666666666666666,0.9755555555555556,extra_trees,shift_blur,blur,-0.050000000000000044
0.825,0.825,0.819471308833011,0.7407407407407407,1.0,0.65,0.693888666488711,120,39,21,0,60,0.0,0.35,0.9754166666666667,extra_trees,shift_dark,dark,-0.10833333333333339
0.8416666666666667,0.8416666666666667,0.841391304347826,0.8727272727272727,0.8,0.8833333333333333,0.6857184482058144,120,53,7,12,48,0.2,0.11666666666666667,0.9315277777777777,extra_trees,shift_noise,noise,-0.09166666666666667
0.9166666666666666,0.9166666666666667,0.916083916083916,1.0,0.8333333333333334,1.0,0.8451542547285166,120,60,0,10,50,0.16666666666666666,0.0,0.9808333333333332,extra_trees,shift_jpeg,jpeg,-0.016666666666666607
0.7166666666666667,0.7166666666666667,0.6919359710057384,0.6382978723404256,1.0,0.43333333333333335,0.5259237061407777,120,26,34,0,60,0.0,0.5666666666666667,0.9344444444444444,extra_trees,shift_lowcontrast,lowcontrast,-0.21666666666666667
0.5,0.5,0.3333333333333333,0.0,0.0,1.0,0.0,120,60,0,60,0,1.0,0.0,0.7681944444444444,extra_trees,shift_clutter,clutter,-0.43333333333333335
0.95,0.95,0.949874686716792,0.9090909090909091,1.0,0.9,0.9045340337332909,120,54,6,0,60,0.0,0.1,0.9790277777777777,extra_trees,shift_whitebg,whitebg,0.016666666666666607
0.9444444444444444,0.9444444444444444,0.944437584887023,0.9347826086956522,0.9555555555555556,0.9333333333333333,0.889108448948774,90,42,3,2,43,0.044444444444444446,0.06666666666666667,0.9861728395061727,hist_gbdt,test,test,0.0
0.8416666666666667,0.8416666666666667,0.8375952703183988,0.759493670886076,1.0,0.6833333333333333,0.7204077607661872,120,41,19,0,60,0.0,0.31666666666666665,0.9619444444444445,hist_gbdt,shift_blur,blur,-0.10277777777777775
0.8833333333333333,0.8833333333333333,0.8817234581807942,0.8108108108108109,1.0,0.7666666666666667,0.7884298457197201,120,46,14,0,60,0.0,0.23333333333333334,0.986111111111111,hist_gbdt,shift_dark,dark,-0.061111111111111116
0.8166666666666667,0.8166666666666667,0.8133484162895928,0.75,0.95,0.6833333333333333,0.6571287406727709,120,41,19,3,57,0.05,0.31666666666666665,0.9038888888888889,hist_gbdt,shift_noise,noise,-0.12777777777777777
0.925,0.925,0.9248695652173913,0.9636363636363636,0.8833333333333333,0.9666666666666667,0.8529668502072325,120,58,2,7,53,0.11666666666666667,0.03333333333333333,0.9844444444444443,hist_gbdt,shift_jpeg,jpeg,-0.019444444444444375
0.7666666666666667,0.7666666666666666,0.7532314923619272,0.6818181818181818,1.0,0.5333333333333333,0.6030226891555273,120,32,28,0,60,0.0,0.4666666666666667,0.9627777777777777,hist_gbdt,shift_lowcontrast,lowcontrast,-0.1777777777777778
0.5083333333333333,0.5083333333333333,0.3515889733492078,1.0,0.016666666666666666,1.0,0.09166984970282113,120,60,0,59,1,0.9833333333333333,0.0,0.6752777777777778,hist_gbdt,shift_clutter,clutter,-0.4361111111111111
0.9583333333333334,0.9583333333333333,0.9583072753804461,0.9365079365079365,0.9833333333333333,0.9333333333333333,0.9178146529232246,120,56,4,1,59,0.016666666666666666,0.06666666666666667,0.995,hist_gbdt,shift_whitebg,whitebg,0.01388888888888884
