accuracy,balanced_accuracy,macro_f1,glass_precision,glass_recall,plastic_recall,mcc,n,tn_plastic_ok,plastic_as_glass,glass_as_plastic,tp_glass_ok,glass_to_plastic_rate,plastic_to_glass_rate,roc_auc,cue_removed,model,ba_ci_lo,ba_ci_hi,ba_ci_width,n_test
0.95,0.95,0.9499861072520144,0.9354838709677419,0.9666666666666667,0.9333333333333333,0.9005004170528446,120,56,4,2,58,0.03333333333333333,0.06666666666666667,0.9741666666666666,none_removed,svm_rbf,0.905337019318597,0.9833287024173382,0.07799168309874116,120
0.9083333333333333,0.9083333333333333,0.9083269671504965,0.9152542372881356,0.9,0.9166666666666666,0.8167801162284651,120,55,5,6,54,0.1,0.08333333333333333,0.9584722222222222,none_removed,extra_trees,0.8579915787337662,0.9585879964557297,0.10059641772196348,120
0.925,0.925,0.9249947913049518,0.9322033898305084,0.9166666666666666,0.9333333333333333,0.8501180801561576,120,56,4,5,55,0.08333333333333333,0.06666666666666667,0.9769444444444445,none_removed,logreg_l2,0.8734169407894736,0.9671969661230733,0.09378002533359964,120
0.9166666666666666,0.9166666666666667,0.9166435120866907,0.9032258064516129,0.9333333333333333,0.9,0.8337966824563376,120,54,6,4,56,0.06666666666666667,0.1,0.9783333333333334,without_transparency,svm_rbf,0.8655153946792166,0.9688358372415498,0.10332044256233319,120
0.925,0.925,0.9249947913049518,0.9322033898305084,0.9166666666666666,0.9333333333333333,0.8501180801561576,120,56,4,5,55,0.08333333333333333,0.06666666666666667,0.9827777777777778,without_transparency,extra_trees,0.8761116658834586,0.9684622532417743,0.0923505873583157,120
0.9333333333333333,0.9333333333333333,0.9333148096693527,0.9193548387096774,0.95,0.9166666666666666,0.8671485497545911,120,55,5,3,57,0.05,0.08333333333333333,0.9911111111111112,without_transparency,logreg_l2,0.8827566964285715,0.9832178368506495,0.10046114042207799,120
0.975,0.975,0.9749843652282677,0.9523809523809523,1.0,0.95,0.9511897312113419,120,57,3,0,60,0.0,0.05,0.9847222222222222,without_specular,svm_rbf,0.9444444444444444,1.0,0.05555555555555558,120
0.9083333333333333,0.9083333333333333,0.9083269671504965,0.9152542372881356,0.9,0.9166666666666666,0.8167801162284651,120,55,5,6,54,0.1,0.08333333333333333,0.9815277777777779,without_specular,extra_trees,0.8571324143692566,0.9580170096403411,0.10088459527108451,120
0.925,0.925,0.9249947913049518,0.9180327868852459,0.9333333333333333,0.9166666666666666,0.8501180801561576,120,55,5,4,56,0.06666666666666667,0.08333333333333333,0.9658333333333333,without_specular,logreg_l2,0.8734101055194805,0.9666854636591479,0.09327535813966736,120
0.975,0.975,0.9749982637683172,0.9672131147540983,0.9833333333333333,0.9666666666666667,0.950131971939235,120,58,2,1,59,0.016666666666666666,0.03333333333333333,0.9883333333333333,without_haze,svm_rbf,0.9338032999629217,1.0,0.06619670003707834,120
0.9333333333333333,0.9333333333333333,0.9333148096693527,0.9482758620689655,0.9166666666666666,0.95,0.8671485497545911,120,57,3,5,55,0.08333333333333333,0.05,0.9731944444444445,without_haze,extra_trees,0.8900759340687098,0.9752528974921546,0.08517696342344483,120
0.9416666666666667,0.9416666666666667,0.9416626154594069,0.9491525423728814,0.9333333333333333,0.95,0.88345604408385,120,57,3,4,56,0.06666666666666667,0.05,0.9886111111111111,without_haze,logreg_l2,0.8918110706453635,0.9833151419208339,0.09150407127547044,120
0.95,0.95,0.95,0.95,0.95,0.95,0.9,120,57,3,3,57,0.05,0.05,0.9872222222222222,without_texture,svm_rbf,0.9069744318181818,0.9833287024173382,0.07635427059915634,120
0.9,0.8999999999999999,0.899972214504029,0.8870967741935484,0.9166666666666666,0.8833333333333333,0.8004448151580841,120,53,7,5,55,0.08333333333333333,0.11666666666666667,0.9705555555555555,without_texture,extra_trees,0.846845694799659,0.9509317245254746,0.1040860297258156,120
0.925,0.925,0.9249947913049518,0.9322033898305084,0.9166666666666666,0.9333333333333333,0.8501180801561576,120,56,4,5,55,0.08333333333333333,0.06666666666666667,0.9880555555555556,without_texture,logreg_l2,0.8699632867132867,0.97453164160401,0.10456835489072325,120
0.95,0.95,0.95,0.95,0.95,0.95,0.9,120,57,3,3,57,0.05,0.05,0.9875,without_label,svm_rbf,0.9073963319859367,0.9833287024173382,0.07593237043140144,120
0.9333333333333333,0.9333333333333333,0.9333148096693527,0.9482758620689655,0.9166666666666666,0.95,0.8671485497545911,120,57,3,5,55,0.08333333333333333,0.05,0.9777777777777779,without_label,extra_trees,0.889585588023088,0.9748610725201444,0.08527548449705646,120
0.925,0.925,0.9248695652173913,0.9636363636363636,0.8833333333333333,0.9666666666666667,0.8529668502072325,120,58,2,7,53,0.11666666666666667,0.03333333333333333,0.9875,without_label,logreg_l2,0.8749162946428571,0.9672131147540983,0.09229682011124118,120
0.9416666666666667,0.9416666666666667,0.9416626154594069,0.9344262295081968,0.95,0.9333333333333333,0.88345604408385,120,56,4,3,57,0.05,0.06666666666666667,0.9836111111111111,without_distortion,svm_rbf,0.893007558127957,0.9767112471764791,0.0837036890485221,120
0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8333333333333334,120,55,5,5,55,0.08333333333333333,0.08333333333333333,0.9772222222222223,without_distortion,extra_trees,0.8660629995004996,0.9669473419586755,0.1008843424581759,120
